"Var1" "Freq" "Porc"
"1" "Department of Housing Preservation and Development" 3542235 0.353789753761888
"2" "Department of Transportation" 1721266 0.17191583119096
"3" "New York City Police Department" 1221325 0.121982948904643
"4" "Department of Environmental Protection" 932699 0.0931556911226836
"5" "Department of Buildings" 499726 0.0499114086130404
"6" "Department of Parks and Recreation" 457534 0.0456973750182277
"7" "Department of Health and Mental Hygiene" 286048 0.0285697734577408
"8" "Taxi and Limousine Commission" 129356 0.0129197603737817
"9" "Department of Finance" 123504 0.0123352769504587
"10" "Department of Consumer Affairs" 123380 0.0123228921342434
"11" "Department of Sanitation" 92103 0.00919902199902919
"12" "BCC - Brooklyn South" 73482 0.00733920213817859
"13" "A - Brooklyn" 57502 0.00574315888720429
"14" "BCC - Brooklyn North" 57204 0.00571339537726747
"15" "BCC - Queens East" 50377 0.005031531342574
"16" "A - Queens" 49877 0.00498159256751223
"17" "HRA Benefit Card Replacement" 48507 0.00484476032384297
"18" "BCC - Staten Island" 48297 0.00482378603831702
"19" "BCC - Queens West" 31303 0.00312646695151744
"20" "A - Illegal Posting Staten Island, Queens and Brooklyn" 28203 0.00281684654613444
"21" "DOB Inspections - Queens" 26172 0.00261399524183351
"22" "BCC - Bronx" 24231 0.0024201329170437
"23" "Bureau of Fire Prevention - Highrise Unit - Inspections" 23612 0.00235830871351723
"24" "A - Manhattan" 23286 0.00232574863217695
"25" "3-1-1 Call Center" 20061 0.00200364353302851
"26" "Queens East 12" 19667 0.00196429177827983
"27" "A - Bronx" 18845 0.00188219243207827
"28" "A - Canine Task Force Citywide" 16957 0.00169362361744501
"29" "Senior Citizen Rent Increase Exemption Unit" 16904 0.00168833010728846
"30" "CHALL" 15600 0.00155808978192736
"31" "A - Illegal Posting Manhattan and Bronx" 15479 0.00154600459836241
"32" "A - Staten Island" 13981 0.00139638802827733
"33" "Lot Cleaning" 12517 0.00125016729489646
"34" "BCC - Manhattan" 10330 0.00103173509277626
"35" "Queens East 10" 9851 0.000983893746267077
"36" "Brooklyn North 03" 9742 0.00097300709330361
"37" "P - Brooklyn and Staten Island" 8528 0.000851755747453622
"38" "Queens West 03" 6971 0.000696246401911257
"39" "Operations Unit - Department of Homeless Services" 6537 0.000652899545157637
"40" "P - Queens" 6089 0.000608154402702287
"41" "Brooklyn South 10" 6057 0.000604958321098333
"42" "HRA" 5826 0.000581886607019794
"43" "Economic Development Corporation" 5705 0.000569801423454844
"44" "Manhattan 02" 5687 0.000568003627552621
"45" "Queens West 02" 5360 0.00053534366866222
"46" "Bronx 10" 5236 0.0005229588524469
"47" "Bronx 11" 4853 0.000484705750749581
"48" "Department of Information Technology and Telecommunications" 4766 0.000476016403888832
"49" "Manhattan 04" 4672 0.000466627914177219
"50" "Queens West 04" 4625 0.000461933669321412
"51" "Manhattan 03" 4614 0.000460835016270053
"52" "Queens West 06" 4442 0.000443656077648803
"53" "P - Manhattan and Bronx" 4390 0.000438462445042378
"54" "Manhattan 07" 4198 0.000419285955418657
"55" "Manhattan 08" 4190 0.000418486935017668
"56" "Correspondence - Taxi and Limousine Commission" 4176 0.000417088649315939
"57" "Manhattan 06" 3104 0.000310019915583495
"58" "DRIE Unit" 3064 0.000306024813578553
"59" "Bronx 08" 2983 0.000297934732018545
"60" "Central - Department of Education" 2926 0.000292241711661503
"61" "Bureau of Fire Prevention - Alarm Unit - Inspections" 2780 0.000277659589343465
"62" "Manhattan 05" 2733 0.000272965344487658
"63" "Bronx 03" 2640 0.000263676732326168
"64" "311 Executive Office - EC" 2375 0.000237209181543428
"65" "Bronx 04" 2339 0.00023361358973898
"66" "Department for the Aging" 2151 0.000214836610315753
"67" "Manhattan 01" 1979 0.000197657671694503
"68" "Personal Exemption Unit" 1570 0.000156807753693971
"69" "Bronx 05" 1566 0.000156408243493477
"70" "FDNY" 1464 0.000146220733380875
"71" "Exemption Unit" 1427 0.000142525264026304
"72" "OPS" 1275 0.000127343876407524
"73" "DPR" 1248 0.000124647182554189
"74" "NYC Emergency Management" 964 9.62819583191008e-05
"75" "Refunds and Adjustments" 953 9.51833052677417e-05
"76" "Commissioner - EC" 851 8.49957951551398e-05
"77" "P - Commercial Recycling Citywide" 836 8.34976319032866e-05
"78" "DSNY" 688 6.87157544850014e-05
"79" "Division of Alternative Management" 441 4.40459996044849e-05
"80" "DOB Inspections - Brooklyn" 415 4.14491833012726e-05
"81" "DOHMH" 313 3.12616731886707e-05
"82" "Bureau of Fire Prevention - Public Assembly Unit - Inspections" 289 2.88646119857055e-05
"83" "OATH" 259 2.58682854819991e-05
"84" "DOB Inspections - Manhattan" 197 1.96758773743391e-05
"85" "DOP" 162 1.61801631200149e-05
"86" "One Stop Booth" 159 1.58805304696442e-05
"87" "DOT" 156 1.55808978192736e-05
"88" "DHS Advantage Programs" 154 1.53811427190265e-05
"89" "DOB Inspections - Bronx" 147 1.46819998681616e-05
"90" "DHS Commissioner - EC" 76 7.59069380938969e-06
"91" "School - Fort Hamilton High School" 66 6.5919183081542e-06
